Date,Total Sales
9/13/2017,31877.69
7/24/2018,48083.44
4/26/2017,18696.09
8/8/2018,51360.5
1/14/2018,35388.83
11/18/2017,27205.38
2/13/2018,28125.11
2/4/2017,15717.21
7/9/2017,10075.68
5/15/2017,21420.97
4/11/2017,9802.58
12/10/2017,28617.28
5/16/2017,24364.7
7/4/2018,41579.8
1/23/2017,7553.89
3/19/2018,52581.75
7/2/2018,29422.43
3/24/2018,27711.42
7/13/2017,17986.75
7/27/2018,33331.13
6/7/2018,42676.38
7/25/2018,47912.59
3/1/2018,46189.25
8/14/2018,51471.37
1/2/2018,29410.51
4/25/2018,47356.47
12/26/2017,23787.74
5/11/2018,43250.01
11/21/2017,39276.17
8/12/2017,16194.09
10/26/2017,26317.77
2/22/2018,38690.94
9/18/2017,32535.25
3/23/2018,34638.16
2/3/2018,27570.62
3/7/2018,42471.16
1/8/2018,45168.65
2/27/2018,47076.98
9/11/2017,26985.65
8/6/2017,16965.11
6/4/2018,34326.4
1/16/2018,51093.97
3/12/2018,35930.91
3/23/2017,18795.93
5/2/2018,44764.32
6/11/2018,57313.28
12/5/2017,39560.42
11/24/2017,178377.63
4/16/2018,47359.48
4/7/2018,29014.87
12/12/2017,38557.38
10/16/2017,35107.63
7/29/2018,36468.28
2/17/2018,29414.49
5/22/2017,28906.6
2/21/2018,37926.96
7/31/2017,20438.67
6/1/2018,37282.67
4/28/2017,18063.29
3/26/2018,41955.68
4/6/2017,25242.81
5/19/2017,21517.68
2/6/2018,39846.72
3/6/2018,45971.25
8/4/2017,21629.61
12/27/2017,21027.51
8/4/2018,41227.8
5/18/2017,20856.51
5/14/2017,17540.92
5/17/2018,35966.73
8/9/2017,24018.02
2/1/2018,35736.74
5/17/2017,21396.33
6/26/2018,37616.54
1/28/2017,5883.01
7/26/2018,41784.72
3/18/2017,17938.49
12/15/2017,31451.63
5/19/2018,28319.73
11/28/2017,56248.47
8/15/2017,27940.67
4/22/2018,31991.81
3/9/2018,33716.51
3/31/2018,29053.17
3/13/2017,19306.06
3/27/2018,40630.2
6/13/2017,16579.45
5/8/2018,54720.09
11/30/2017,36618.09
7/8/2018,17554.74
11/15/2017,27546.25
2/19/2018,33735.95
2/2/2017,10475.3
10/27/2017,23152.45
2/10/2018,25021.38
6/18/2018,41023.4
7/23/2018,47975.62
6/13/2018,41586.63
8/15/2018,52358.65
12/18/2017,33810.61
8/25/2018,11737.76
2/15/2018,37940.27
2/18/2018,29061.89
2/20/2017,9157.3
6/20/2017,14069.74
4/20/2017,15722.39
3/11/2018,36618.35
9/15/2017,21556.67
5/14/2018,62230.72
7/28/2018,30065.12
11/19/2017,23312.61
8/26/2018,9333.16
7/30/2017,15341.68
3/21/2018,46433.96
12/22/2017,17208.04
5/9/2017,23886.12
3/25/2018,30192.79
12/8/2017,34362.22
4/10/2018,32535.26
3/10/2018,30801.14
1/22/2018,43395.11
7/17/2017,25363.55
5/1/2018,38441.68
9/19/2017,23425.66
9/25/2017,20944.59
4/11/2018,47204.46
12/20/2017,32004.67
8/20/2018,39851.87
8/3/2018,49517.58
8/17/2017,21737.95
11/22/2017,29951.16
7/19/2018,44911.24
6/5/2018,36101.72
10/13/2017,26405.41
2/2/2018,32517.5
7/30/2018,45814.02
7/6/2018,22108.67
8/19/2018,29966.5
1/27/2018,25102.77
3/17/2018,23996.86
11/17/2017,34192.17
9/27/2017,24083.23
7/7/2018,11277.24
8/22/2018,24262.61
5/9/2018,50968.64
5/7/2018,62460.21
11/26/2017,53595.2
9/29/2017,33704
5/21/2017,20368.53
6/27/2017,19575.96
10/3/2017,30389.12
1/23/2018,40293.17
5/18/2018,36429.78
8/10/2017,23323.21
6/10/2018,30288.25
5/29/2018,29430.63
9/26/2017,25241.66
3/30/2017,11435
9/21/2017,22458.19
2/13/2017,12885.87
12/30/2017,15189.49
7/16/2017,16005.24
9/3/2017,30950.79
12/25/2017,12662.23
6/6/2018,32176.98
10/19/2017,26909.61
7/22/2018,32962.26
8/2/2017,21122.27
12/2/2017,35713.18
11/25/2017,71858.16
6/11/2017,16609.43
2/5/2018,43196.96
7/18/2018,48984.15
8/7/2018,58294.38
6/8/2018,31797.2
5/16/2018,64739.09
9/20/2017,26032.15
1/18/2018,32759.39
1/10/2018,44820.92
7/23/2017,14005.72
11/27/2017,56644.85
8/18/2017,20025.87
5/25/2018,18137.37
2/9/2018,34909.13
4/9/2017,9689.41
4/15/2017,9391.56
10/18/2017,31501.86
2/14/2018,43339.15
4/30/2017,9437
3/4/2018,37350.99
7/22/2017,13318.54
11/1/2017,22066.99
6/24/2018,29498.58
3/8/2018,33842.12
3/6/2017,12421.31
9/10/2017,20821
10/4/2017,24787.58
2/23/2018,33072.96
12/21/2017,21532.95
9/24/2017,15517.69
4/27/2018,46763.07
8/9/2018,46734.86
8/27/2017,16295.46
4/26/2018,36912.77
7/15/2018,34489.4
5/30/2018,22529.08
8/6/2018,65860.42
3/29/2018,33562.67
6/25/2018,41879.92
8/14/2017,21588.2
4/15/2018,36558.19
8/13/2018,45876.91
1/13/2018,32679.83
4/4/2018,43567.82
5/11/2017,21182.25
3/22/2018,36989.79
4/22/2017,14865.41
7/25/2017,20563.46
3/14/2017,16542.98
11/12/2017,26529.31
1/30/2018,35362.73
12/4/2017,54260.12
4/24/2017,17711.58
6/28/2017,17051.85
11/6/2017,33149.61
5/3/2018,49575.72
6/16/2017,14777.69
4/24/2018,49905.05
7/5/2017,24138.21
9/23/2017,12433.79
2/20/2018,42533.76
7/8/2017,11897.07
3/15/2018,51444.06
6/25/2017,20734.34
8/11/2017,23319.8
11/8/2017,23262.88
5/15/2018,49506.02
7/13/2018,32529.4
3/14/2018,28323.84
8/1/2017,25413.33
7/21/2018,25502.08
8/13/2017,14491.45
3/9/2017,13804.61
10/23/2017,25835.52
12/9/2017,23639.52
8/1/2018,48431.03
4/9/2018,55782.82
4/2/2018,47968.33
4/27/2017,12390.89
4/29/2018,23060.95
12/6/2017,45490.22
6/5/2017,27018.16
9/12/2017,32236.94
6/3/2018,32869.9
1/6/2018,32581.28
5/23/2018,20262.29
3/20/2018,42887.92
7/10/2017,20397.34
6/30/2018,18621.7
8/10/2018,39585.29
2/22/2017,9332.21
4/18/2018,46295.73
8/24/2018,11313.39
11/11/2017,26670.94
11/16/2017,32918.09
1/31/2018,37769.46
1/11/2018,46332.5
6/4/2017,15898.48
1/24/2018,36899.36
3/7/2017,13730.64
7/11/2018,22140.62
10/24/2017,25738.66
8/21/2017,26019.72
12/11/2017,39415.43
8/23/2018,19540.56
5/4/2018,45494.1
3/5/2018,45384.47
12/17/2017,22106
6/14/2018,32707.21
3/18/2018,36076.38
12/24/2017,6960.79
11/23/2017,51499.46
11/29/2017,47031.59
4/3/2018,42070.51
6/14/2017,23373.59
1/25/2018,34689.28
6/16/2018,29000.08
7/2/2017,13672.73
10/25/2017,20731.59
2/12/2017,16646.33
7/20/2018,38061.85
4/8/2018,27877.68
6/22/2017,10609.04
9/1/2017,32450.78
2/8/2017,14026.94
5/12/2017,15103.56
8/17/2018,37638.99
10/5/2017,29129.83
2/8/2018,31813.03
6/12/2018,46762.43
7/12/2018,32569.71
8/31/2017,23694.99
4/6/2018,32285.34
1/19/2018,35264.83
2/11/2018,25943.97
1/1/2018,8391.92
8/28/2018,4121.22
6/9/2018,34033.77
6/28/2018,38739.05
1/18/2017,4683.38
1/3/2018,36746.08
8/11/2018,30565.73
11/13/2017,29334.24
2/24/2018,28298.46
1/12/2018,36932.97
7/24/2017,22860.14
7/16/2018,37778.13
8/8/2017,21527.55
4/23/2017,11681.32
6/29/2017,14275.04
12/1/2017,45973.82
1/21/2017,3094.77
2/28/2018,52260.55
5/24/2018,22274.67
12/7/2017,32920.88
12/31/2017,10184.04
7/3/2018,31454.6
5/23/2017,20617.06
5/31/2018,28156.52
4/20/2018,32666.48
8/23/2017,18593.79
8/21/2018,30830.69
5/6/2018,32994.23
5/20/2017,12354.47
10/5/2016,9645.94
7/28/2017,23276.3
2/24/2017,7898.75
8/2/2018,45625.66
7/12/2017,22443.87
1/29/2018,36021.46
1/5/2018,32227.36
3/28/2018,34416.66
2/9/2017,10844.17
6/10/2017,9807.18
2/17/2017,8059.21
5/26/2017,12495.32
4/1/2018,34189
4/19/2017,13941.25
8/16/2018,42217.31
7/1/2018,29060.7
2/25/2018,34930.89
7/31/2018,53402.24
10/11/2017,25916.4
5/1/2017,14796.77
5/8/2017,19022.66
6/8/2017,22100.45
12/19/2017,24128.29
4/30/2018,41036.61
7/7/2017,16206.86
11/9/2017,28901.64
2/23/2017,8569.62
6/17/2017,12746.15
5/29/2017,22027.52
4/13/2017,11213.93
6/23/2018,21181.11
1/4/2018,39916.16
5/30/2017,16681.07
8/27/2018,6111.61
3/22/2017,16390.14
6/2/2017,21603.97
6/27/2018,32505.93
4/14/2017,9532.36
7/29/2017,18371.91
9/5/2017,24528.97
5/10/2017,23249.9
8/12/2018,36739.75
5/12/2018,34712.37
8/28/2017,25696.59
5/24/2017,26595.31
3/5/2017,8450.31
11/14/2017,31356.87
1/9/2018,35401.33
4/10/2017,13492.1
10/17/2017,34756.27
10/14/2017,16185.46
9/8/2017,14523.41
5/26/2018,16914.09
4/25/2017,17167.66
3/30/2018,26275.08
12/16/2017,22907.06
7/18/2017,32186.33
8/30/2017,34964.65
8/5/2017,14465.84
10/31/2017,26846.53
3/25/2017,11064.27
6/19/2018,40013.6
4/5/2018,42218.8
3/16/2018,38760.01
10/12/2017,22201.28
4/17/2018,42612.79
4/29/2017,13687.02
10/9/2017,34989.53
1/26/2018,39261.3
1/27/2017,12756.15
4/3/2017,10776.9
6/23/2017,15698.5
7/9/2018,23122.17
1/25/2017,10340.21
1/14/2017,1499.57
8/29/2017,37025.69
6/30/2017,14750.45
1/17/2018,42141.53
12/14/2017,29580.87
10/22/2017,23234.37
11/20/2017,50065.87
5/10/2018,58871.89
12/23/2017,15357.09
7/5/2018,33949.48
11/2/2017,24082.94
5/13/2017,10666.39
3/2/2018,37373.53
11/3/2017,26036.15
9/7/2017,19096.76
11/4/2017,22294.81
10/6/2017,19998.48
5/7/2017,19724.42
3/28/2017,14626.68
2/7/2017,16524.21
6/19/2017,25933.44
2/11/2017,5233.15
10/28/2017,18922.48
2/6/2017,11084.8
5/20/2018,23086.12
4/17/2017,10765.57
6/26/2017,15200.32
6/18/2017,19733.69
7/26/2017,13899.48
8/19/2017,15158.9
8/16/2017,27997.94
5/21/2018,29665.97
8/5/2018,42272.07
8/26/2017,12054.65
1/15/2018,44978.73
9/9/2017,17675.75
3/4/2017,14590.54
7/4/2017,17940.64
9/17/2017,22826.04
6/15/2018,31498.76
6/17/2018,20751.52
11/7/2017,24610.72
1/31/2017,12687.54
10/2/2017,25178.3
4/19/2018,49872.25
7/1/2017,14139
6/21/2018,33301.99
6/6/2017,17307.99
5/13/2018,36202.29
2/16/2018,31674.13
3/10/2017,14518.92
7/3/2017,19258.11
3/3/2018,31367.13
6/24/2017,10013.7
7/11/2017,23870.57
1/21/2018,27893.79
2/25/2017,5012.31
9/16/2017,24040.31
3/24/2017,11670.45
5/31/2017,23271.15
3/16/2017,16649.75
3/8/2017,16588.44
5/2/2017,20307.77
10/15/2017,21299.15
5/5/2018,32608.15
4/28/2018,26978.52
4/12/2018,39945.39
1/28/2018,27507.22
5/22/2018,32070.68
5/27/2018,14693.68
2/12/2018,27609.53
5/6/2017,18592.8
2/10/2017,15668
10/29/2017,20283.6
4/2/2017,10605.8
4/4/2017,14152.99
6/22/2018,28753.16
1/22/2017,4141.87
9/14/2017,26502.51
11/5/2017,20901.95
6/20/2018,34330.27
7/17/2018,35758.41
2/26/2017,6496.46
1/17/2017,3893.61
5/25/2017,17786.69
8/20/2017,14955.17
5/28/2017,11107.24
3/29/2017,10209.11
12/28/2017,17782.05
4/8/2017,10053.58
8/3/2017,22219.04
10/10/2017,31965.46
2/26/2018,50112.08
3/27/2017,18732.59
7/21/2017,15785.66
5/28/2018,30304.95
5/3/2017,12136.38
3/1/2017,14654.69
7/19/2017,19710.43
8/24/2017,15982.51
7/14/2017,21833.26
9/6/2017,28821.83
10/30/2017,23330.88
10/1/2017,21909.43
1/20/2018,26951.33
5/5/2017,16342.51
4/14/2018,22397.87
1/24/2017,6783.53
8/18/2018,28698.1
2/4/2018,28216.48
3/15/2017,17215.93
9/2/2017,20479.18
2/7/2018,36332.33
4/18/2017,23433.86
4/12/2017,9407.94
4/13/2018,36440.53
4/1/2017,19053.91
3/31/2017,13745.54
10/7/2016,8135.97
6/15/2017,14916.81
10/8/2017,19424.09
1/5/2017,707.27
8/22/2017,19749.47
1/26/2017,15111.63
6/12/2017,17290.77
7/20/2017,22410.97
3/12/2017,7853.18
10/20/2017,21563.08
9/28/2017,26349.1
1/7/2018,33918.12
10/7/2017,17748.51
3/21/2017,13236.72
2/3/2017,11425.99
3/11/2017,12485.42
11/10/2017,23603.57
9/4/2017,28385.22
5/27/2017,16057.39
9/22/2017,19034.93
4/23/2018,44363.3
8/25/2017,17403.72
7/27/2017,18729.08
7/6/2017,25716.31
7/10/2018,22246.77
2/18/2017,8451.14
10/9/2016,4018.98
7/15/2017,13128.06
12/13/2017,34382.63
6/2/2018,28939.99
4/5/2017,20774.55
3/3/2017,13919.14
1/19/2017,4140.16
7/14/2018,26427.02
3/19/2017,7728.08
6/29/2018,25098.69
6/7/2017,15397.67
10/4/2016,11295.48
12/3/2017,34207.42
10/21/2017,17552.04
6/3/2017,12265.44
4/21/2018,22465.89
1/20/2017,4656.05
6/9/2017,18589.83
3/13/2018,42179.61
2/28/2017,12575.72
2/5/2017,10153.24
2/1/2017,9570.49
2/16/2017,7455.28
4/7/2017,15043.72
6/1/2017,21762.33
1/15/2017,2551.34
2/27/2017,6831.29
2/21/2017,9333.46
8/29/2018,1762.7
1/12/2017,2502.69
3/26/2017,7642.03
1/30/2017,11898.13
9/30/2017,14879.17
1/29/2017,7160.66
8/7/2017,26629.34
3/20/2017,19607.3
10/8/2016,9383.37
12/29/2017,18765.65
10/6/2016,9131.23
6/21/2017,7271.58
4/21/2017,10109.97
3/2/2017,12883.06
2/15/2017,8031.52
1/13/2017,2780.72
5/4/2017,15813.96
1/16/2017,3708.4
1/10/2017,1571.17
3/17/2017,13611.28
2/19/2017,4477.65
1/11/2017,3062.33
10/10/2016,4493.39
4/16/2017,6514.8
9/4/2016,136.23
2/14/2017,14343
10/3/2016,595.14
1/6/2017,988.28
1/8/2017,809.63
1/7/2017,1447.99
9/15/2016,143.46
9/3/2018,166.46
12/23/2016,19.62
1/9/2017,774.51
10/2/2016,109.34
9/5/2016,75.06
9/20/2018,0
9/13/2018,0
9/11/2018,0
9/13/2016,0
9/17/2018,0
8/30/2018,0
9/6/2018,0
9/10/2018,0
10/3/2018,0
9/25/2018,0
9/26/2018,0
9/29/2018,0
10/22/2016,0
10/17/2018,0
10/16/2018,0
9/12/2018,0
10/1/2018,0
8/31/2018,0
